pair_id,n_methods,AF2_AF3_pct,AF2_AF3_n,AF2_AF3_p,AF2_ESM_pct,AF2_ESM_n,AF2_ESM_p,AF2_MSAT_pct,AF2_MSAT_n,AF2_MSAT_p,AF2_CCMpred_pct,AF2_CCMpred_n,AF2_CCMpred_p,AF2_DDG_pct,AF2_DDG_n,AF2_DDG_p,AF2_Boltz2_pct,AF2_Boltz2_n,AF2_Boltz2_p,AF2_BioEmu_pct,AF2_BioEmu_n,AF2_BioEmu_p,AF3_ESM_pct,AF3_ESM_n,AF3_ESM_p,AF3_MSAT_pct,AF3_MSAT_n,AF3_MSAT_p,AF3_CCMpred_pct,AF3_CCMpred_n,AF3_CCMpred_p,AF3_DDG_pct,AF3_DDG_n,AF3_DDG_p,AF3_Boltz2_pct,AF3_Boltz2_n,AF3_Boltz2_p,AF3_BioEmu_pct,AF3_BioEmu_n,AF3_BioEmu_p,ESM_MSAT_pct,ESM_MSAT_n,ESM_MSAT_p,ESM_CCMpred_pct,ESM_CCMpred_n,ESM_CCMpred_p,ESM_DDG_pct,ESM_DDG_n,ESM_DDG_p,ESM_Boltz2_pct,ESM_Boltz2_n,ESM_Boltz2_p,ESM_BioEmu_pct,ESM_BioEmu_n,ESM_BioEmu_p,MSAT_CCMpred_pct,MSAT_CCMpred_n,MSAT_CCMpred_p,MSAT_DDG_pct,MSAT_DDG_n,MSAT_DDG_p,MSAT_Boltz2_pct,MSAT_Boltz2_n,MSAT_Boltz2_p,MSAT_BioEmu_pct,MSAT_BioEmu_n,MSAT_BioEmu_p,CCMpred_DDG_pct,CCMpred_DDG_n,CCMpred_DDG_p,CCMpred_Boltz2_pct,CCMpred_Boltz2_n,CCMpred_Boltz2_p,CCMpred_BioEmu_pct,CCMpred_BioEmu_n,CCMpred_BioEmu_p,DDG_Boltz2_pct,DDG_Boltz2_n,DDG_Boltz2_p,DDG_BioEmu_pct,DDG_BioEmu_n,DDG_BioEmu_p,Boltz2_BioEmu_pct,Boltz2_BioEmu_n,Boltz2_BioEmu_p,mean_concordance,mean_n_clusters,max_concordance_methods,max_concordance_pct
4tsyD_3zwgN,8,0.824,34.0,0.0002,0.412,34.0,0.885,0.0,1.0,1.0,,0.0,,0.588,34.0,0.1956,0.529,34.0,0.4319,0.765,34.0,0.0018,0.471,34.0,0.6965,0.0,1.0,1.0,,0.0,,0.588,34.0,0.1956,0.588,34.0,0.1956,0.765,34.0,0.0018,0.0,1.0,1.0,,0.0,,0.471,34.0,0.6965,0.529,34.0,0.4319,0.529,34.0,0.4319,,0.0,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,,0.0,,,0.0,,,0.0,,0.471,34.0,0.6965,0.471,34.0,0.6965,0.588,34.0,0.1956,0.457,24.6,MSAT~DDG,1.0
4xwsD_4y0mJ,8,0.56,100.0,0.1357,0.5,100.0,0.5398,0.45,20.0,0.7488,0.333,3.0,1.0,0.54,100.0,0.242,0.58,100.0,0.0668,0.485,99.0,0.6562,0.5,100.0,0.5398,0.35,20.0,0.9412,0.667,3.0,1.0,0.52,100.0,0.3821,0.52,100.0,0.3821,0.424,99.0,0.9461,0.4,20.0,0.8682,0.333,3.0,1.0,0.48,100.0,0.6915,0.48,100.0,0.6915,0.475,99.0,0.7268,0.667,3.0,1.0,0.45,20.0,0.7488,0.55,20.0,0.4115,0.55,20.0,0.4115,0.667,3.0,1.0,0.667,3.0,1.0,0.333,3.0,1.0,0.34,100.0,0.9995,0.525,99.0,0.3438,0.556,99.0,0.1574,0.496,58.4,AF3~CCMpred,0.667
4ydqB_4twaA,8,0.579,95.0,0.0754,0.418,98.0,0.957,0.562,16.0,0.4013,0.333,3.0,1.0,0.531,98.0,0.3068,0.561,98.0,0.1332,0.448,96.0,0.8692,0.464,97.0,0.7917,0.562,16.0,0.4013,0.667,3.0,1.0,0.485,97.0,0.6577,0.546,97.0,0.2083,0.547,95.0,0.2059,0.688,16.0,0.1056,0.333,3.0,1.0,0.44,100.0,0.9032,0.52,100.0,0.3821,0.449,98.0,0.8668,0.0,3.0,1.0,0.375,16.0,0.8944,0.5,16.0,0.5987,0.688,16.0,0.1056,0.333,3.0,1.0,0.667,3.0,1.0,0.333,3.0,1.0,0.46,100.0,0.8159,0.531,98.0,0.3068,0.52,98.0,0.3809,0.484,56.5,ESM~MSAT,0.688
4yhdG_7ahlE,8,0.615,13.0,0.2895,0.417,12.0,0.8068,0.5,2.0,1.0,,0.0,,0.462,13.0,0.7105,0.462,13.0,0.7105,0.692,13.0,0.1336,0.25,12.0,0.9783,1.0,2.0,1.0,,0.0,,0.615,13.0,0.2895,0.385,13.0,0.8664,0.692,13.0,0.1336,0.0,1.0,1.0,,0.0,,0.583,12.0,0.3864,0.615,13.0,0.2895,0.333,12.0,0.9255,,0.0,,1.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,,0.0,,,0.0,,,0.0,,0.231,13.0,0.9867,0.538,13.0,0.5,0.385,13.0,0.8664,0.513,9.6,AF3~MSAT,1.0
4zrbH_4zrbC,8,0.74,100.0,0.0,0.68,100.0,0.0002,0.4,20.0,0.8682,,0.0,,0.52,100.0,0.3821,,0.0,,,0.0,,0.8,100.0,0.0,0.4,20.0,0.8682,,0.0,,0.56,100.0,0.1357,,0.0,,,0.0,,0.55,20.0,0.4115,,0.0,,0.48,100.0,0.6915,,0.0,,,0.0,,,0.0,,0.45,20.0,0.7488,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,0.558,68.0,AF3~ESM,0.8
5bmyA_5b3zA,8,0.598,97.0,0.0338,0.577,97.0,0.0776,0.375,16.0,0.8944,,0.0,,0.5,98.0,0.5402,0.51,96.0,0.4594,0.606,94.0,0.025,0.551,98.0,0.1816,0.438,16.0,0.7734,,0.0,,0.535,99.0,0.2732,0.577,97.0,0.0776,0.579,95.0,0.0754,0.562,16.0,0.4013,,0.0,,0.535,99.0,0.2732,0.526,97.0,0.3423,0.484,95.0,0.6592,,0.0,,0.562,16.0,0.4013,0.6,15.0,0.3028,0.375,16.0,0.8944,,0.0,,,0.0,,,0.0,,0.561,98.0,0.1332,0.521,96.0,0.3797,0.489,94.0,0.6215,0.527,73.6,AF2~BioEmu,0.606
5c1vB_5c1vA,8,0.56,100.0,0.1357,0.515,99.0,0.4203,0.444,18.0,0.7602,0.714,7.0,0.2248,0.44,100.0,0.9032,,0.0,,,0.0,,0.556,99.0,0.1574,0.778,18.0,0.0169,0.714,7.0,0.2248,0.44,100.0,0.9032,,0.0,,,0.0,,0.5,18.0,0.5932,0.429,7.0,0.7752,0.444,99.0,0.8861,,0.0,,,0.0,,0.571,7.0,0.5,0.5,18.0,0.5932,,0.0,,,0.0,,0.714,7.0,0.2248,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,0.555,46.9,AF3~MSAT,0.778
5c3iF_3kuyA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5et5A_3ifaA,8,0.62,100.0,0.0107,0.643,98.0,0.0032,0.6,20.0,0.2512,0.5,6.0,0.6585,0.56,100.0,0.1357,0.62,100.0,0.0107,0.606,99.0,0.0222,0.531,98.0,0.3068,0.45,20.0,0.7488,0.5,6.0,0.6585,0.54,100.0,0.242,0.56,100.0,0.1357,0.434,99.0,0.9203,0.579,19.0,0.3232,0.667,6.0,0.3415,0.694,98.0,0.0001,0.541,98.0,0.2398,0.608,97.0,0.0211,0.5,6.0,0.6585,0.5,20.0,0.5885,0.4,20.0,0.8682,0.45,20.0,0.7488,0.833,6.0,0.1103,0.667,6.0,0.3415,0.667,6.0,0.3415,0.44,100.0,0.9032,0.576,99.0,0.0797,0.606,99.0,0.0222,0.568,58.8,CCMpred~DDG,0.833
5f5rB_5f3kA,8,0.64,100.0,0.0035,0.4,100.0,0.9821,0.556,18.0,0.4068,,0.0,,0.4,100.0,0.9821,0.44,100.0,0.9032,0.582,98.0,0.0649,0.52,100.0,0.3821,0.556,18.0,0.4068,,0.0,,0.46,100.0,0.8159,0.48,100.0,0.6915,0.622,98.0,0.0101,0.611,18.0,0.2398,,0.0,,0.54,100.0,0.242,0.6,100.0,0.0287,0.49,98.0,0.6191,,0.0,,0.611,18.0,0.2398,0.556,18.0,0.4068,0.611,18.0,0.2398,,0.0,,,0.0,,,0.0,,0.44,100.0,0.9032,0.592,98.0,0.043,0.469,98.0,0.7602,0.532,76.1,AF2~AF3,0.64
5hk5H_4jphB,8,0.622,90.0,0.0134,0.451,91.0,0.8527,0.75,4.0,1.0,,0.0,,0.516,91.0,0.417,0.44,91.0,0.8958,0.549,91.0,0.2008,0.478,90.0,0.7009,1.0,5.0,0.0368,,0.0,,0.433,90.0,0.9147,0.511,90.0,0.458,0.5,90.0,0.542,0.2,5.0,0.9632,,0.0,,0.56,91.0,0.1473,0.615,91.0,0.018,0.462,91.0,0.7992,,0.0,,0.4,5.0,0.8145,0.6,5.0,0.5,0.6,5.0,0.5,,0.0,,,0.0,,,0.0,,0.363,91.0,0.9968,0.495,91.0,0.583,0.495,91.0,0.583,0.526,66.1,AF3~MSAT,1.0
5i2sA_5i2mA,8,0.333,6.0,0.8897,1.0,6.0,0.0206,0.0,1.0,1.0,,0.0,,0.333,6.0,0.8897,0.333,6.0,0.8897,0.667,6.0,0.3415,0.333,6.0,0.8897,1.0,1.0,1.0,,0.0,,0.667,6.0,0.3415,0.333,6.0,0.8897,0.667,6.0,0.3415,0.0,1.0,1.0,,0.0,,0.333,6.0,0.8897,0.333,6.0,0.8897,0.667,6.0,0.3415,,0.0,,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,0.0,,,0.0,,,0.0,,0.667,6.0,0.3415,0.333,6.0,0.8897,0.333,6.0,0.8897,0.444,4.6,AF2~ESM,1.0
5jytA_2qkeE,8,0.84,100.0,0.0,0.66,100.0,0.001,,0.0,,,0.0,,0.74,100.0,0.0,0.74,100.0,0.0,0.88,100.0,0.0,0.64,100.0,0.0035,,0.0,,,0.0,,0.7,100.0,0.0,0.7,100.0,0.0,0.82,100.0,0.0,,0.0,,,0.0,,0.62,100.0,0.0107,0.64,100.0,0.0035,0.72,100.0,0.0,1.0,1.0,1.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,0.82,100.0,0.0,0.72,100.0,0.0,0.76,100.0,0.0,0.75,93.8,MSAT~CCMpred,1.0
5jztG_5jzhA,8,0.714,14.0,0.0907,0.357,14.0,0.9093,1.0,1.0,1.0,,0.0,,0.571,14.0,0.3946,0.714,14.0,0.0907,0.857,14.0,0.0081,0.6,15.0,0.3028,0.0,1.0,1.0,,0.0,,0.333,15.0,0.9393,0.875,16.0,0.003,0.8,15.0,0.0194,1.0,1.0,1.0,,0.0,,0.667,15.0,0.1508,0.533,15.0,0.5,0.533,15.0,0.5,,0.0,,1.0,1.0,1.0,0.0,1.0,1.0,,0.0,,,0.0,,,0.0,,,0.0,,0.467,15.0,0.6972,0.6,15.0,0.3028,0.667,15.0,0.1508,0.614,11.3,AF2~MSAT,1.0
5l35G_5l35D,8,0.273,11.0,0.9648,0.455,11.0,0.7268,0.0,1.0,1.0,,0.0,,0.273,11.0,0.9648,,0.0,,,0.0,,0.364,11.0,0.8861,0.0,1.0,1.0,,0.0,,0.636,11.0,0.2732,,0.0,,,0.0,,1.0,1.0,1.0,,0.0,,0.455,11.0,0.7268,,0.0,,,0.0,,,0.0,,0.0,1.0,1.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,0.345,7.0,ESM~MSAT,1.0
5lj3M_3tp2A,7,0.602,98.0,0.0275,0.602,98.0,0.0275,0.333,6.0,0.8897,,0.0,,0.622,98.0,0.0101,,,,0.653,98.0,0.0017,0.6,100.0,0.0287,0.333,6.0,0.8897,,0.0,,0.56,100.0,0.1357,,,,0.64,100.0,0.0035,0.5,6.0,0.6585,,0.0,,0.64,100.0,0.0035,,,,0.58,100.0,0.0668,,0.0,,0.5,6.0,0.6585,,,,0.667,6.0,0.3415,,0.0,,,,,,0.0,,,,,0.64,100.0,0.0035,,,,0.565,68.1,MSAT~BioEmu,0.667
5ly6B_5aoeB,8,0.6,55.0,0.0888,0.527,55.0,0.3937,0.333,3.0,1.0,,0.0,,0.6,55.0,0.0888,0.564,55.0,0.2092,0.691,55.0,0.0035,0.473,55.0,0.7052,0.0,4.0,1.0,,0.0,,0.691,55.0,0.0035,0.618,55.0,0.0528,0.673,55.0,0.0076,0.0,4.0,1.0,,0.0,,0.436,55.0,0.8596,0.436,55.0,0.8596,0.418,55.0,0.9112,,0.0,,0.5,4.0,1.0,0.5,4.0,1.0,1.0,4.0,1.0,,0.0,,,0.0,,,0.0,,0.655,55.0,0.0155,0.709,55.0,0.0015,0.509,55.0,0.5,0.521,40.4,MSAT~BioEmu,1.0
5tpnA_1g2cF,7,0.5,4.0,1.0,0.5,4.0,1.0,,,,,0.0,,1.0,4.0,1.0,0.5,4.0,1.0,1.0,2.0,1.0,0.0,4.0,1.0,,,,,0.0,,0.5,4.0,1.0,0.5,4.0,1.0,1.0,2.0,1.0,,,,,0.0,,0.5,4.0,1.0,0.5,4.0,1.0,0.0,2.0,1.0,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,0.5,4.0,1.0,1.0,2.0,1.0,0.5,2.0,1.0,0.567,3.3,AF2~DDG,1.0
5wrgC_1wyyB,8,0.636,33.0,0.0819,0.455,33.0,0.7569,0.5,2.0,1.0,,0.0,,0.394,33.0,0.9181,0.455,33.0,0.7569,0.5,18.0,0.5932,0.394,33.0,0.9181,1.0,2.0,1.0,,0.0,,0.303,33.0,0.9926,0.545,33.0,0.3639,0.389,18.0,0.8807,0.0,2.0,1.0,,0.0,,0.576,33.0,0.2431,0.394,33.0,0.9181,0.444,18.0,0.7602,,0.0,,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,0.0,,,0.0,,,0.0,,0.515,33.0,0.5,0.647,17.0,0.166,0.5,18.0,0.5932,0.555,20.5,AF3~MSAT,1.0
6c6sD_2ougC,7,0.66,100.0,0.001,0.56,100.0,0.1357,0.556,18.0,0.4068,0.5,2.0,1.0,0.52,100.0,0.3821,,,,0.6,100.0,0.0287,0.66,100.0,0.001,0.444,18.0,0.7602,0.5,2.0,1.0,0.58,100.0,0.0668,,,,0.5,100.0,0.5398,0.444,18.0,0.7602,0.0,2.0,1.0,0.56,100.0,0.1357,,,,0.46,100.0,0.8159,0.0,2.0,1.0,0.333,18.0,0.9505,,,,0.333,18.0,0.9505,0.5,2.0,1.0,,,,0.5,2.0,1.0,,,,0.52,100.0,0.3821,,,,0.463,52.5,AF2~AF3,0.66
7kdtB_6z4uA,7,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0.0,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0.0,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,,0.0,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.667,1.0,AF2~AF3,1.0
